ticket_id,created_at,resolved_at,channel,priority,status,first_response_minutes,handling_minutes,wait_minutes,resolution_minutes,satisfaction,agent_id
T-00001,2026-09-01T00:00:00+00:00,,web,low,open,5,20,5,25,,A-01
T-00002,2026-09-01T00:07:00+00:00,2026-09-01T00:40:00+00:00,email,medium,closed,6,21,12,33,2,A-02
T-00003,2026-09-01T00:14:00+00:00,2026-09-01T00:55:00+00:00,chat,high,closed,7,22,19,41,3,A-03
T-00004,2026-09-01T00:21:00+00:00,2026-09-01T01:10:00+00:00,web,low,closed,8,23,26,49,4,A-04
T-00005,2026-09-01T00:28:00+00:00,2026-09-01T01:25:00+00:00,email,medium,closed,9,24,33,57,5,A-05
T-00006,2026-09-01T00:35:00+00:00,,chat,high,open,10,25,40,65,,A-06
T-00007,2026-09-01T00:42:00+00:00,2026-09-01T01:15:00+00:00,web,low,closed,11,26,7,33,2,A-07
T-00008,2026-09-01T00:49:00+00:00,2026-09-01T01:30:00+00:00,email,medium,closed,12,27,14,41,3,A-08
T-00009,2026-09-01T00:56:00+00:00,2026-09-01T01:45:00+00:00,chat,high,closed,13,28,21,49,4,A-09
T-00010,2026-09-01T01:03:00+00:00,2026-09-01T02:00:00+00:00,web,low,closed,14,29,28,57,5,A-10
T-00011,2026-09-01T01:10:00+00:00,,email,medium,open,15,30,35,65,,A-11
T-00012,2026-09-01T01:17:00+00:00,2026-09-01T02:30:00+00:00,chat,high,closed,16,31,42,73,2,A-12
T-00013,2026-09-01T01:24:00+00:00,2026-09-01T02:05:00+00:00,web,low,closed,17,32,9,41,3,A-01
T-00014,2026-09-01T01:31:00+00:00,2026-09-01T02:20:00+00:00,email,medium,closed,18,33,16,49,4,A-02
T-00015,2026-09-01T01:38:00+00:00,2026-09-01T02:35:00+00:00,chat,high,closed,19,34,23,57,5,A-03
T-00016,2026-09-01T01:45:00+00:00,,web,low,open,20,35,30,65,,A-04
T-00017,2026-09-01T01:52:00+00:00,2026-09-01T03:05:00+00:00,email,medium,closed,21,36,37,73,2,A-05
T-00018,2026-09-01T01:59:00+00:00,2026-09-01T03:20:00+00:00,chat,high,closed,22,37,44,81,3,A-06
T-00019,2026-09-01T02:06:00+00:00,2026-09-01T02:55:00+00:00,web,low,closed,23,38,11,49,4,A-07
T-00020,2026-09-01T02:13:00+00:00,2026-09-01T03:10:00+00:00,email,medium,closed,24,39,18,57,5,A-08
T-00021,2026-09-01T02:20:00+00:00,,chat,high,open,5,40,25,65,,A-09
T-00022,2026-09-01T02:27:00+00:00,2026-09-01T03:40:00+00:00,web,low,closed,6,41,32,73,2,A-10
T-00023,2026-09-01T02:34:00+00:00,2026-09-01T03:55:00+00:00,email,medium,closed,7,42,39,81,3,A-11
T-00024,2026-09-01T02:41:00+00:00,2026-09-01T03:30:00+00:00,chat,high,closed,8,43,6,49,4,A-12
T-00025,2026-09-01T02:48:00+00:00,2026-09-01T03:45:00+00:00,web,low,closed,9,44,13,57,5,A-01
T-00026,2026-09-01T02:55:00+00:00,,email,medium,open,10,45,20,65,,A-02
T-00027,2026-09-01T03:02:00+00:00,2026-09-01T04:15:00+00:00,chat,high,closed,11,46,27,73,2,A-03
T-00028,2026-09-01T03:09:00+00:00,2026-09-01T04:30:00+00:00,web,low,closed,12,47,34,81,3,A-04
T-00029,2026-09-01T03:16:00+00:00,2026-09-01T04:45:00+00:00,email,medium,closed,13,48,41,89,4,A-05
T-00030,2026-09-01T03:23:00+00:00,2026-09-01T04:20:00+00:00,chat,high,closed,14,49,8,57,5,A-06
T-00031,2026-09-01T03:30:00+00:00,,web,low,open,15,50,15,65,,A-07
T-00032,2026-09-01T03:37:00+00:00,2026-09-01T04:50:00+00:00,email,medium,closed,16,51,22,73,2,A-08
T-00033,2026-09-01T03:44:00+00:00,2026-09-01T05:05:00+00:00,chat,high,closed,17,52,29,81,3,A-09
T-00034,2026-09-01T03:51:00+00:00,2026-09-01T05:20:00+00:00,web,low,closed,18,53,36,89,4,A-10
T-00035,2026-09-01T03:58:00+00:00,2026-09-01T05:35:00+00:00,email,medium,closed,19,54,43,97,5,A-11
T-00036,2026-09-01T04:05:00+00:00,,chat,high,open,20,55,10,65,,A-12
T-00037,2026-09-01T04:12:00+00:00,2026-09-01T05:25:00+00:00,web,low,closed,21,56,17,73,2,A-01
T-00038,2026-09-01T04:19:00+00:00,2026-09-01T05:40:00+00:00,email,medium,closed,22,57,24,81,3,A-02
T-00039,2026-09-01T04:26:00+00:00,2026-09-01T05:55:00+00:00,chat,high,closed,23,58,31,89,4,A-03
T-00040,2026-09-01T04:33:00+00:00,2026-09-01T06:10:00+00:00,web,low,closed,24,59,38,97,5,A-04
T-00041,2026-09-01T04:40:00+00:00,,email,medium,open,5,20,5,25,,A-05
T-00042,2026-09-01T04:47:00+00:00,2026-09-01T05:20:00+00:00,chat,high,closed,6,21,12,33,2,A-06
T-00043,2026-09-01T04:54:00+00:00,2026-09-01T05:35:00+00:00,web,low,closed,7,22,19,41,3,A-07
T-00044,2026-09-01T05:01:00+00:00,2026-09-01T05:50:00+00:00,email,medium,closed,8,23,26,49,4,A-08
T-00045,2026-09-01T05:08:00+00:00,2026-09-01T06:05:00+00:00,chat,high,closed,9,24,33,57,5,A-09
T-00046,2026-09-01T05:15:00+00:00,,web,low,open,10,25,40,65,,A-10
T-00047,2026-09-01T05:22:00+00:00,2026-09-01T05:55:00+00:00,email,medium,closed,11,26,7,33,2,A-11
T-00048,2026-09-01T05:29:00+00:00,2026-09-01T06:10:00+00:00,chat,high,closed,12,27,14,41,3,A-12
T-00049,2026-09-01T05:36:00+00:00,2026-09-01T06:25:00+00:00,web,low,closed,13,28,21,49,4,A-01
T-00050,2026-09-01T05:43:00+00:00,2026-09-01T06:40:00+00:00,email,medium,closed,14,29,28,57,5,A-02
T-00051,2026-09-01T05:50:00+00:00,,chat,high,open,15,30,35,65,,A-03
T-00052,2026-09-01T05:57:00+00:00,2026-09-01T07:10:00+00:00,web,low,closed,16,31,42,73,2,A-04
T-00053,2026-09-01T06:04:00+00:00,2026-09-01T06:45:00+00:00,email,medium,closed,17,32,9,41,3,A-05
T-00054,2026-09-01T06:11:00+00:00,2026-09-01T07:00:00+00:00,chat,high,closed,18,33,16,49,4,A-06
T-00055,2026-09-01T06:18:00+00:00,2026-09-01T07:15:00+00:00,web,low,closed,19,34,23,57,5,A-07
T-00056,2026-09-01T06:25:00+00:00,,email,medium,open,20,35,30,65,,A-08
T-00057,2026-09-01T06:32:00+00:00,2026-09-01T07:45:00+00:00,chat,high,closed,21,36,37,73,2,A-09
T-00058,2026-09-01T06:39:00+00:00,2026-09-01T08:00:00+00:00,web,low,closed,22,37,44,81,3,A-10
T-00059,2026-09-01T06:46:00+00:00,2026-09-01T07:35:00+00:00,email,medium,closed,23,38,11,49,4,A-11
T-00060,2026-09-01T06:53:00+00:00,2026-09-01T07:50:00+00:00,chat,high,closed,24,39,18,57,5,A-12
T-00061,2026-09-01T07:00:00+00:00,,web,low,open,5,40,25,65,,A-01
T-00062,2026-09-01T07:07:00+00:00,2026-09-01T08:20:00+00:00,email,medium,closed,6,41,32,73,2,A-02
T-00063,2026-09-01T07:14:00+00:00,2026-09-01T08:35:00+00:00,chat,high,closed,7,42,39,81,3,A-03
T-00064,2026-09-01T07:21:00+00:00,2026-09-01T08:10:00+00:00,web,low,closed,8,43,6,49,4,A-04
T-00065,2026-09-01T07:28:00+00:00,2026-09-01T08:25:00+00:00,email,medium,closed,9,44,13,57,5,A-05
T-00066,2026-09-01T07:35:00+00:00,,chat,high,open,10,45,20,65,,A-06
T-00067,2026-09-01T07:42:00+00:00,2026-09-01T08:55:00+00:00,web,low,closed,11,46,27,73,2,A-07
T-00068,2026-09-01T07:49:00+00:00,2026-09-01T09:10:00+00:00,email,medium,closed,12,47,34,81,3,A-08
T-00069,2026-09-01T07:56:00+00:00,2026-09-01T09:25:00+00:00,chat,high,closed,13,48,41,89,4,A-09
T-00070,2026-09-01T08:03:00+00:00,2026-09-01T09:00:00+00:00,web,low,closed,14,49,8,57,5,A-10
T-00071,2026-09-01T08:10:00+00:00,,email,medium,open,15,50,15,65,,A-11
T-00072,2026-09-01T08:17:00+00:00,2026-09-01T09:30:00+00:00,chat,high,closed,16,51,22,73,2,A-12
T-00073,2026-09-01T08:24:00+00:00,2026-09-01T09:45:00+00:00,web,low,closed,17,52,29,81,3,A-01
T-00074,2026-09-01T08:31:00+00:00,2026-09-01T10:00:00+00:00,email,medium,closed,18,53,36,89,4,A-02
T-00075,2026-09-01T08:38:00+00:00,2026-09-01T10:15:00+00:00,chat,high,closed,19,54,43,97,5,A-03
T-00076,2026-09-01T08:45:00+00:00,,web,low,open,20,55,10,65,,A-04
T-00077,2026-09-01T08:52:00+00:00,2026-09-01T10:05:00+00:00,email,medium,closed,21,56,17,73,2,A-05
T-00078,2026-09-01T08:59:00+00:00,2026-09-01T10:20:00+00:00,chat,high,closed,22,57,24,81,3,A-06
T-00079,2026-09-01T09:06:00+00:00,2026-09-01T10:35:00+00:00,web,low,closed,23,58,31,89,4,A-07
T-00080,2026-09-01T09:13:00+00:00,2026-09-01T10:50:00+00:00,email,medium,closed,24,59,38,97,5,A-08
T-00081,2026-09-01T09:20:00+00:00,,chat,high,open,5,20,5,25,,A-09
T-00082,2026-09-01T09:27:00+00:00,2026-09-01T10:00:00+00:00,web,low,closed,6,21,12,33,2,A-10
T-00083,2026-09-01T09:34:00+00:00,2026-09-01T10:15:00+00:00,email,medium,closed,7,22,19,41,3,A-11
T-00084,2026-09-01T09:41:00+00:00,2026-09-01T10:30:00+00:00,chat,high,closed,8,23,26,49,4,A-12
T-00085,2026-09-01T09:48:00+00:00,2026-09-01T10:45:00+00:00,web,low,closed,9,24,33,57,5,A-01
T-00086,2026-09-01T09:55:00+00:00,,email,medium,open,10,25,40,65,,A-02
T-00087,2026-09-01T10:02:00+00:00,2026-09-01T10:35:00+00:00,chat,high,closed,11,26,7,33,2,A-03
T-00088,2026-09-01T10:09:00+00:00,2026-09-01T10:50:00+00:00,web,low,closed,12,27,14,41,3,A-04
T-00089,2026-09-01T10:16:00+00:00,2026-09-01T11:05:00+00:00,email,medium,closed,13,28,21,49,4,A-05
T-00090,2026-09-01T10:23:00+00:00,2026-09-01T11:20:00+00:00,chat,high,closed,14,29,28,57,5,A-06
T-00091,2026-09-01T10:30:00+00:00,,web,low,open,15,30,35,65,,A-07
T-00092,2026-09-01T10:37:00+00:00,2026-09-01T11:50:00+00:00,email,medium,closed,16,31,42,73,2,A-08
T-00093,2026-09-01T10:44:00+00:00,2026-09-01T11:25:00+00:00,chat,high,closed,17,32,9,41,3,A-09
